Almacen,ProductId,Producto,Descripcion,Categoria,Subcategoria1,Linea,Sublinea,Marca,Modelo,Rango,Tipo,CostoEstandar,CostoPromedio,UltimoCosto,Existencia,Por Surtir,Orden Por Surtir,Disponible,Entrada,Salida,UMB,ValorStock,StockMax,StockMin,StockReorden,Inactivo,FechaUltimaCompra,FechaUltimaVenta,UPCCode,DiasSinCompra,DiasSinVenta,servidor_origen
ALMACEN CENTRAL,12,11610,LL MICHELIN 175/65R14 ENERGY 82H EXM2 +,MICHELIN - TCAR,AUTO MICHELIN,,,MICHELIN,ENERGY XM2,,ON ROAD,1063.475,1688.580765,1786.05,23,0,4,23,684,661,PIEZA,38837.3576,0,0,0,FALSO,23/10/2025 13:08:23.257,14/01/2026 12:52:28.957,,88,5,LRG
ALMACEN CENTRAL,13,07251,LL MICHELIN 175/70R14 88T EXM2+,MICHELIN - TCAR,AUTO MICHELIN,,,MICHELIN,EXM2+,,ON ROAD,850,1681.914918,1682.77,23,0,0,23,700,677,PIEZA,38684.04311,0,0,0,FALSO,20/11/2025 13:40:28.247,14/01/2026 09:23:43.637,,60,5,LRG
ALMACEN CENTRAL,23,64604,LL MICHELIN 195/60R14 86H ENERGY XM2,MICHELIN - TCAR,AUTO MICHELIN,,,MICHELIN,ENERGY XM2,,ON ROAD,1391.633,,,0,0,0,0,22,22,PIEZA,0,0,0,0,FALSO,,10/08/2023 10:05:27.193,,,893,LRG
ALMACEN CENTRAL,34,44312,LL MICHELIN 205/65R15 94T LTX FORCE,MICHELIN - TCAR,CAMIONETA MICHELIN,,,MICHELIN,LTX FORCE,,,1829.177,2590.948377,2562.37,0,0,0,0,149,149,PIEZA,0,0,0,0,FALSO,07/09/2023 14:20:41.787,28/08/2025 12:34:45.247,,865,144,LRG
ALMACEN CENTRAL,40,63684,LL MICHELIN 215/65R15C 104/102T 96H AGILIS CC,MICHELIN - TCAR,CAMIONETA MICHELIN,,,MICHELIN,AGILIS CC,,,2096.565,,,0,0,0,0,4,4,PIEZA,0,0,0,0,FALSO,,27/01/2022 12:45:54.753,,,1453,LRG
ALMACEN CENTRAL,52,82806,LL MICHELIN 235/75R15 109T DEFENDER LTX,MICHELIN - TCAR,CAMIONETA MICHELIN,,,MICHELIN,DEFENDER LTX,,ON ROAD,1944.64,3230.016416,3315,3,0,0,3,566,563,PIEZA,9690.049249,0,0,0,FALSO,31/12/2025 09:06:54.310,07/01/2026 15:28:03.180,,19,12,LRG
ALMACEN CENTRAL,55,02184,LL MICHELIN 195/60R15 88T DEFENDER,MICHELIN - TCAR,CAMIONETA MICHELIN,,,MICHELIN,DEFENDER,,,2072.5,,,0,0,0,0,6,6,PIEZA,0,0,0,0,FALSO,,11/04/2022 14:32:17.193,,,1379,LRG
ALMACEN CENTRAL,72,24524,LL MICHELIN 205/70R15 95H ENERGY XM2,MICHELIN - TCAR,AUTO MICHELIN,,,MICHELIN,ENERGY XM2,,,1671.175,,,0,0,0,0,20,20,PIEZA,0,0,0,0,FALSO,,07/07/2022 20:12:01.203,,,1292,LRG
ALMACEN CENTRAL,74,22013,LL MICHELIN 195/55R15 85V ENERGY XM2,MICHELIN - TCAR,AUTO MICHELIN,,,MICHELIN,ENERGY XM2,,,1555.712,,,0,0,0,0,57,57,PIEZA,0,0,0,0,FALSO,,13/01/2024 10:06:22.633,,,737,LRG
ALMACEN CENTRAL,75,21891,LL MICHELIN 195/65R15 95H PRIMACY 4,MICHELIN - TCAR,AUTO MICHELIN,,,MICHELIN,PRIMACY 4,,,1172.86,1698.541743,1562.53,43,0,0,43,2411,2368,PIEZA,73037.29493,0,0,0,FALSO,15/01/2026 18:13:49.440,17/01/2026 11:56:36.083,,4,2,LRG
ALMACEN CENTRAL,80,25285,LL MICHELIN 205/55R16 91V PRIMACY 4,MICHELIN - TCAR,AUTO MICHELIN,,,MICHELIN,PRIMACY 4,,,1355.171,1963,1963,0,0,0,0,1814,1814,PIEZA,0,0,0,0,FALSO,04/07/2023 09:37:17.203,19/03/2024 15:33:31.207,,930,671,LRG
